year,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
2012.0,55000,16.8,1497.0,116.3,11.0,5.9799016301292856,6.338571428571428,0,0,0,0,0,1,1,1,0
2016.0,54552,21.4,1197.0,83.1,7.0,4.684721460176991,5.669622641509434,0,0,0,0,0,1,1,1,0
2008.0,40000,15.6,1586.0,104.68,15.0,4.684721460176991,2.5,1,0,0,0,0,1,1,1,0
2015.0,162828,22.77,1498.0,98.59,8.0,5.858258333333332,6.777575757575757,0,0,1,0,0,0,1,1,0
2018.0,27000,21.5,1497.0,108.5,5.0,4.381194170957776,7.316,0,0,1,0,0,0,1,1,0
2003.0,40000,17.0,1476.3274007038713,5.0,20.0,5.4588194834362715,0.7000000000000001,1,0,0,0,0,1,1,1,0
2016.0,61000,21.9,1498.0,98.6,7.0,5.9799016301292856,8.32,0,0,1,0,0,0,1,0,1
2019.0,27000,19.1,1368.0,98.6,4.0,5.4588194834362715,8.7975,1,0,0,0,0,1,1,1,0
2013.0,39000,19.01,1461.0,108.45,10.0,4.606650943396226,5.230294117647059,0,0,1,0,0,0,1,1,0
2020.0,4500,21.7,998.0,67.0,3.0,4.684721460176991,4.6499999999999995,1,0,0,0,0,1,1,1,0
2013.0,60000,20.58,1995.0,143.0,10.0,17.34901656314698,12.733333333333334,0,0,1,0,0,0,0,1,0
2018.0,25592,14.8,1497.0,121.36,5.0,5.858258333333332,9.76875,0,0,0,0,0,1,0,1,0
2018.0,24812,25.47,1248.0,88.5,5.0,4.684721460176991,6.3029629629629635,0,0,1,0,0,0,1,0,1
2013.0,93000,22.9,1248.0,74.0,10.0,4.684721460176991,5.2040625,1,0,1,0,0,0,1,1,0
2010.0,42000,16.0,1198.0,90.0,13.0,5.9799016301292856,3.705714285714286,0,0,0,0,0,1,1,1,0
2017.0,42000,25.1,1248.0,88.5,6.0,4.684721460176991,8.6,1,0,1,0,0,0,1,1,0
2017.0,44000,18.6,1197.0,81.83,6.0,5.4588194834362715,5.940666666666667,0,0,0,0,0,1,1,1,0
2016.0,46000,15.4,1997.0,120.0,7.0,7.315421238244514,10.931999999999999,0,0,1,0,0,0,1,0,1
2015.0,240000,23.59,1364.0,67.05,8.0,10.532762825904118,4.617,1,0,1,0,0,0,1,1,0
2017.0,76000,14.24,2755.0,174.5,6.0,10.532762825904118,20.90249999999996,0,0,1,0,0,0,1,0,1
2019.0,10000,23.95,998.0,67.05,4.0,4.684721460176991,3.1449586776859504,1,0,0,0,0,1,1,1,0
2016.0,68193,28.09,1248.0,88.5,7.0,4.684721460176991,6.8917241379310346,0,0,1,0,0,0,1,1,0
2016.0,70000,15.0,2143.0,107.3,7.0,17.07147938144328,16.75,0,0,1,0,0,0,0,1,0
2013.0,65209,22.9,1248.0,74.0,10.0,4.684721460176991,4.4379333333333335,0,0,1,0,0,0,1,1,0
2013.0,78000,23.4,1248.0,74.0,10.0,4.684721460176991,4.674736842105263,0,0,1,0,0,0,1,1,0
2015.0,50000,20.73,1373.0,91.1,8.0,4.684721460176991,5.8415,1,0,0,0,0,1,1,1,0
2012.0,70000,23.2,1248.0,73.94,11.0,4.684721460176991,3.1595744680851063,1,0,1,0,0,0,1,1,0
2012.0,66581,17.4,1197.0,85.8,11.0,4.684721460176991,5.308333333333334,0,0,0,0,0,1,0,1,0
2015.0,43000,22.0,1197.0,81.8,8.0,4.684721460176991,3.97125,0,0,0,0,0,1,1,1,0
2016.0,36908,15.4,1997.0,120.0,7.0,7.315421238244514,6.9625,0,0,1,0,0,0,1,0,1
2017.0,21616,21.9,1498.0,98.6,6.0,5.9799016301292856,9.083333333333334,0,0,1,0,0,0,1,0,1
2015.0,67362,20.0,1399.0,68.05,8.0,5.858258333333332,2.772884615384615,0,0,1,0,0,0,1,1,0
2018.0,48000,23.1,998.0,67.04,5.0,4.684721460176991,4.213658536585366,0,0,0,0,0,1,0,1,0
2017.0,42000,18.0,1198.0,86.7,6.0,5.9799016301292856,4.456666666666666,0,0,0,0,0,1,1,1,0
2016.0,34000,21.01,1197.0,81.8,7.0,4.684721460176991,6.060769230769231,0,0,0,0,0,1,1,1,0
2015.0,90000,26.59,1248.0,74.0,8.0,4.684721460176991,5.282048611111112,1,0,1,0,0,0,1,1,0
2013.0,67000,14.6,998.0,61.6,10.0,4.684721460176991,3.1,1,0,0,0,1,0,1,1,0
2011.0,79850,21.1,1248.0,73.9,12.0,4.684721460176991,3.1595744680851063,0,0,1,0,0,0,1,1,0
2010.0,60000,19.5,1061.0,5.0,13.0,4.684721460176991,1.7423076923076921,1,0,0,0,0,1,1,1,0
2016.0,22000,16.38,1999.0,177.0,7.0,20.187499999999968,20.90249999999996,0,0,1,0,0,0,0,1,0
2018.0,24300,28.09,1248.0,88.5,5.0,4.684721460176991,8.431538461538462,1,0,1,0,0,0,1,1,0
2015.0,72658,15.96,2523.0,63.0,8.0,7.315421238244514,6.324999999999999,0,0,1,0,0,0,1,0,1
2012.0,60000,21.02,1248.0,88.8,11.0,4.381194170957776,3.0,1,0,1,0,0,0,1,1,0
2017.0,36000,21.7,1498.0,98.96,6.0,5.858258333333332,8.935714285714285,0,0,1,0,0,0,1,1,0
2017.0,31000,23.65,1248.0,88.5,6.0,4.684721460176991,7.680000000000001,0,0,1,0,0,0,1,1,0
2015.0,40000,15.4,1997.0,120.0,8.0,7.315421238244514,10.625499999999999,0,0,1,0,0,0,1,0,1
2015.0,40000,17.43,1396.0,105.5,8.0,5.4588194834362715,5.757142857142857,0,0,0,0,0,1,1,1,0
2016.0,25000,25.32,1198.0,77.0,7.0,7.315421238244514,4.23,1,0,1,0,0,0,1,0,1
2012.0,52000,17.6,1496.0,88.73,11.0,10.532762825904118,3.4777419354838712,0,0,0,0,0,1,1,1,0
2012.0,100000,20.77,1248.0,88.8,11.0,4.684721460176991,6.458717948717949,1,0,1,0,0,0,1,0,1
